"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Ошибка при запросе несуществующего заказа","tests.api","Thu Apr 02 11:37:11 UTC 2026","passed","Thu Apr 02 11:37:11 UTC 2026","","test_orders_api","",""
"","107","Проверка создания товара с разными ценами","tests.api","Thu Apr 02 11:37:12 UTC 2026","passed","Thu Apr 02 11:37:12 UTC 2026","","test_products_api","",""
"","110","Успешное создание нового кроссовка","tests.api","Thu Apr 02 11:37:11 UTC 2026","passed","Thu Apr 02 11:37:11 UTC 2026","","test_products_api","",""
"","18","Успешное получение списка заказов администратором","tests.api","Thu Apr 02 11:37:11 UTC 2026","passed","Thu Apr 02 11:37:11 UTC 2026","","test_orders_api","",""
"","113","Проверка создания товара с разными ценами","tests.api","Thu Apr 02 11:37:11 UTC 2026","passed","Thu Apr 02 11:37:12 UTC 2026","","test_products_api","",""
"","0","Попытка удаления товара без токена","tests.api","Thu Apr 02 11:37:12 UTC 2026","passed","Thu Apr 02 11:37:12 UTC 2026","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","Thu Apr 02 11:37:10 UTC 2026","broken","Thu Apr 02 11:37:10 UTC 2026","","test_carts_api","",""
"","128","Успешный вход с правильными данными","tests.api","Thu Apr 02 11:37:10 UTC 2026","passed","Thu Apr 02 11:37:10 UTC 2026","","test_auth_api","",""
"","110","Проверка создания товара с разными ценами","tests.api","Thu Apr 02 11:37:12 UTC 2026","passed","Thu Apr 02 11:37:12 UTC 2026","","test_products_api","",""
"","97","Блокировка входа с неверным паролем","tests.api","Thu Apr 02 11:37:10 UTC 2026","passed","Thu Apr 02 11:37:10 UTC 2026","","test_auth_api","",""
"","109","Проверка создания товара с разными ценами","tests.api","Thu Apr 02 11:37:12 UTC 2026","passed","Thu Apr 02 11:37:12 UTC 2026","","test_products_api","",""
"","19","Блокировка входа с пустыми полями","tests.api","Thu Apr 02 11:37:10 UTC 2026","passed","Thu Apr 02 11:37:10 UTC 2026","","test_auth_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","Thu Apr 02 11:37:12 UTC 2026","passed","Thu Apr 02 11:37:12 UTC 2026","","test_products_api","",""
"","1","Попытка получить список заказов без авторизации","tests.api","Thu Apr 02 11:37:11 UTC 2026","passed","Thu Apr 02 11:37:11 UTC 2026","","test_orders_api","",""
"","6","Ошибка создания товара без названия","tests.api","Thu Apr 02 11:37:12 UTC 2026","passed","Thu Apr 02 11:37:12 UTC 2026","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","Thu Apr 02 11:37:10 UTC 2026","broken","Thu Apr 02 11:37:10 UTC 2026","","test_carts_api","",""
"","204","Попытка добавить реальный товар в фейковую корзину","tests.api","Thu Apr 02 11:37:11 UTC 2026","passed","Thu Apr 02 11:37:11 UTC 2026","","test_carts_api","",""
